STREET;ZUJ;ID_STREET;POINT_X;POINT_Y
LovinskÈho;528595;528595155;17.08273433;48.16218125
ºubæansk·;529346;529346095;17.12219871;48.16246804
ºubochnianska;529346;529346096;17.16595805;48.17804031
ºuda Z˙bka;529389;529389041;17.04637125;48.17921924
ºudovÌta Fullu;529397;529397041;17.04953953;48.15514514
Luûick·;528595;528595157;17.12463806;48.15086936
Mikul·öa Schneidera-TrnavskÈho;529389;529389043;17.04514855;48.17828892
Magnetov·;529346;529346097;17.15527747;48.17786094
MajakovskÈho;528595;528595159;17.09289329;48.15505887
MajernÌkova;529397;529397043;17.04621729;48.15503876
Majersk·;529338;529338038;17.21107052;48.15594742
M·jkova;528595;528595160;17.11924415;48.15216237
Major·nov·;529338;529338039;17.19243858;48.15457264
Malinov·;528595;528595162;17.10120725;48.15722041
MargarÈtov·;529338;529338086;17.18515746;48.15229305
Marhuæov·;529338;529338042;17.18507508;48.15098364
Mart·kovej;529320;529320123;17.17109468;48.15093355
Martinengova;528595;528595166;17.07878792;48.15909777
Mat˙ökova;529346;529346103;17.11012458;48.15970352
Mat˙öova;528595;528595168;17.08275267;48.16096617
Maximili·na Hella;529320;529320126;17.16243484;48.16237006
Medzilaboreck·;529320;529320127;17.15850724;48.15981158
Merlotov·;529346;529346242;17.11468519;48.17804635
Metodova;529320;529320130;17.12774585;48.15671364
MikovÌniho;529346;529346105;17.11850198;48.16050933
MiletiËova;529320;529320132;17.13632589;48.15309551
MiöÌkova;528595;528595174;17.1019786;48.15245575
Mliek·rensk·;529320;529320133;17.14450928;48.15233555
MlynskÈ luhy;529320;529320134;17.17866862;48.1531715
MojmÌrova;529320;529320136;17.1327575;48.15181297
Mokr·Ú z·hon;529320;529320137;17.18608483;48.17740709
Moldavsk·;529320;529320138;17.15135075;48.15845989
Moravsk·;529346;529346106;17.12872638;48.16059436
Moskovsk·;528595;528595175;17.12207093;48.15070469
Mostn·;529338;529338044;17.20571956;48.15189358
Moyzesova;528595;528595179;17.10442856;48.15044044
Mozartova;528595;528595180;17.08667623;48.15290041
Mraziarensk·;529320;529320141;17.14180298;48.15523838
Murgaöova;528595;528595182;17.10955063;48.15644635
Muök·tov·;529320;529320142;17.15904631;48.15045118
M˝tna;528595;528595185;17.11670635;48.15525809
Na bar·nku;528595;528595186;17.09482743;48.15292883
Na Brezin·ch;528595;528595354;17.10340996;48.15099165
Na Hrebienku;528595;528595187;17.08856375;48.15171732
Na Kamp·rke;529397;529397089;17.03687163;48.15266095
Na paöi;529320;529320145;17.14485231;48.16197795
Na piesku;529320;529320146;17.18508777;48.15582133
Na piesku;529338;529338079;17.19044227;48.15195757
Na Sitine;529397;529397050;17.06014291;48.16265859
Na SlavÌne;528595;528595190;17.10087151;48.15341732
Na str·ni;528595;528595191;17.08939951;48.15396128
N·bÏlkova;529397;529397082;17.05911459;48.15284329
Nad l˙Ëkami;529397;529397052;17.05029312;48.15777055
N·mestie Martina Benku;528595;528595196;17.12271081;48.15328761
N·mestie pri zimnom ötadiÛne;529346;529346262;17.13503399;48.16010316
N·mestie slobody;528595;528595197;17.1126774;48.15182542
N·mestie sv. Frantiöka;529397;529397097;17.05284342;48.15913363
Narcisov·;529320;529320149;17.16129778;48.1552567
Nekrasovova;528595;528595360;17.09604918;48.15767061
Neronetov·;529346;529346243;17.11491257;48.17701861
Nev‰dzov·;529320;529320151;17.15933706;48.1525229
Nez·budkov·;529320;529320152;17.15150449;48.15115951
Nitrianska;529320;529320154;17.13410052;48.15371829
NovackÈho;529397;529397053;17.05645764;48.15318733
Novosvetsk·;528595;528595200;17.09754231;48.15264879
Obeûn·;529320;529320162;17.17502141;48.16046509
Obiln·;529320;529320163;17.16544282;48.15478944
Odboj·rov;529346;529346121;17.13322762;48.1617362
Odbor·rska;529346;529346122;17.13993288;48.17887899
Odbor·rske n·mestie;528595;528595203;17.12008199;48.15172437
Ok·nikova;528595;528595204;17.10247277;48.15789757
Olbrachtova;529346;529346123;17.15682286;48.17667436
Ondavsk·;529320;529320165;17.14002727;48.15977369
Ondrejovova;529320;529320166;17.17455339;48.15199104
Orchideov·;529338;529338046;17.19505697;48.15127163
Ostravsk·;528595;528595207;17.10022579;48.15914305
Ostredkov·;529320;529320171;17.16988346;48.16119546
Ostruûinov˝ chodnÌk;529346;529397054;17.06623635;48.17834826
Ostruûinov·;529338;529338087;17.18730284;48.15117286
Pal·rikova;528595;528595209;17.11088736;48.15747322
PalkoviËova;529320;529320173;17.13744541;48.15794566
P·ntikova;529389;529389079;17.03877672;48.17858361
Pap·nkovo n·mestie;529320;529320326;17.16613337;48.15631321
PapraÔov·;529320;529320174;17.16201148;48.15460419
PaûickÈho;528595;528595216;17.09894687;48.15379999
PaûÌtkov·;529320;529320180;17.15069101;48.15157919
Perneck·;529397;529397055;17.051968;48.16124448
Petersk·;529320;529320182;17.16882638;48.15107279
Petzvalova;529320;529320183;17.16554602;48.15205748
Pivonkov·;529320;529320185;17.15281827;48.15158068
Platanov·;529338;529338050;17.19520367;48.15061421
PlzeÚsk·;529346;529346136;17.12822678;48.16182418
Pod ag·tmi;529338;529338088;17.18357501;48.1522362
Pod gaötanmi;529338;529320189;17.18980451;48.15611846
Pod Rovnicami;529397;529397058;17.05650878;48.15798879
PodhorskÈho;528595;528595222;17.10097476;48.15801851
PodluËinskÈho;529320;529320190;17.1699837;48.15135988
Podpriehradn·;529338;529338052;17.19330808;48.15280056
PodtatranskÈho;528595;528595224;17.10415672;48.15283062
Pol·rna;529320;529320191;17.17136164;48.15984299
Polianky;529389;529389054;17.05824115;48.17703874
Poæsk·;528595;528595226;17.12488427;48.15278994
PorubskÈho;528595;528595227;17.10016468;48.15003614
PovraznÌcka;528595;528595229;17.11472698;48.15575106
PrasliËkov·;529338;529338055;17.19341104;48.15090793
Praûsk·;528595;528595230;17.10418882;48.15924481
