"","EST","res","perc_res","dPSQ","Xlok","Garsonka","PocetIzieb","vlast","park_garaz","vytah","rok","podlazie","stav","konstr","vybav","stary_rek","RozlohaIzby","balkon_rozl","lodzia_rozl","terasa_rozl","wp"
"28",2487.57401953599,-1135.15325319129,-31.3342177794332,3622.72727272727,"529397065","0","1","osobne","0","1","novy","ine","kompl_rek","panel","na","0",22,0,0.136,0,1
"378",1696.05831551641,99.7168521017757,6.24658660988969,1596.34146341463,"529460099","0","4","osobne","0","1","sociknovy","ine","kompl_rek","panel","na","0",20.5,0,0,0,1
"149",1799.56769697194,-30.620982273341,-1.67310521699698,1830.18867924528,"529389045","0","2","osobne","0","1","sociknovy","ine","kompl_rek","panel","zar_spotr","0",26.5,0,0,0,1
"156",1641.2667758421,-1.59036701504488,-0.096804948741862,1642.85714285714,"529460027","0","2","osobne","0","1","sociknovy","ine","pov_stav","panel","na","0",28,0,0,0,1
"41",1951.42835704765,148.796778100284,8.25441980702308,1802.63157894737,"529389059","0","1","osobne","0","1","sociknovy","ine","kompl_rek","panel","na","0",38,0,0,0,1
"266",1650.11960680081,148.619606800805,9.89807571100934,1501.5,"529320259","0","3","osobne","0","1","sociknovy","podstr","ciast_rek","panel","standard","0",24.67,0,0.025,0,1
"44",1488.35514712124,28.8956876617804,1.97988971015902,1459.45945945946,"508314","0","1","osobne","0","0","uplnenovy","ine","kompl_rek","tehla","na","0",37,0,0,0,1
"94",1576.44176425429,-90.2249024123771,-5.41349414474263,1666.66666666667,"508233","0","2","osobne","0","1","uplnenovy","ine","novo","tehla","zar_spotr","0",34.5,0.052,0,0,1
"131",2022.4420326063,112.185622349892,5.87280439147084,1910.25641025641,"528595148","0","2","osobne","0","0","sociknovy","prizem","kompl_rek","tehla","zar_spotr","0",19.5,0,0,0,1
"128",2050.34315980526,-34.7632231734588,-1.66721580525772,2085.10638297872,"529346219","0","2","osobne","0","1","sociknovy","ine","pov_stav","panel","standard","0",23.5,0.101,0.149,0,1
"290",1749.36558747734,301.604393447487,20.8324684133831,1447.76119402985,"529320060","0","3","osobne","0","1","sociknovy","ine","pov_stav","panel","na","0",22.33,0,0,0,1
"139",2069.73561126857,-134.346021384496,-6.09532874800026,2204.08163265306,"529346126","0","2","osobne","0","0","socikstary","ine","kompl_rek","tehla","na","0",24.5,0,0,0,1
"325",1832.69226098544,134.579053438266,7.92521092469789,1698.11320754717,"529320175","0","4","osobne","0","0","sociknovy","ine","pov_stav","tehla","na","0",26.5,0,0,0,1
"289",1402.13108685785,100.761223844154,7.74270456907708,1301.3698630137,"529371016","0","3","osobne","0","1","sociknovy","ine","pov_stav","panel","na","0",24.33,0.041,0,0,1
"25",2529.16504918664,412.498382519972,19.4881125599987,2116.66666666667,"529320080","0","1","osobne","0","1","uplnenovy","ine","novo","zmies","standard","0",42,0.103,0.238,0.202,1
"296",2102.99376634269,-265.427286288884,-11.2069298655307,2368.42105263158,"529346195","0","3","osobne","0","1","uplnenovy","ine","novo","tehla","na","0",25.33,0,0.158,0,1
"116",1575.68490580197,93.8667239837914,6.33456419522519,1481.81818181818,"508179","0","2","osobne","0","0","novy","podstr","novo","zmies","zar_spotr","0",27.5,0.036,0,0,1
"364",1721.15228855149,-44.8051582570251,-2.53715956395203,1765.95744680851,"529419001","0","4","osobne","0","1","uplnenovy","podstr","novo","zmies","na","0",35.25,0,0,0.638,1
